127.0.0.1 - - [16/Jun/2021:09:07:16 +0900] "GET / HTTP/1.1" 200 35400
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:17 +0900] "GET /WEB-INF/views/notice/noticeList.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /noticeList HTTP/1.1" 200 13390
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/img/footer-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/css/barfiller.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/img/breadcrumb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:29 +0900] "GET /resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:53 +0900] "GET /noticeList HTTP/1.1" 200 13390
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:07:59 +0900] "GET /noticeList HTTP/1.1" 200 13253
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:08:28 +0900] "GET /noticeList HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:08:39 +0900] "GET /noticeList HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:08:41 +0900] "GET /noticeList HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:08:42 +0900] "GET /noticeList HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [16/Jun/2021:09:08:48 +0900] "GET /noticeList HTTP/1.1" 200 13252
